Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Best Nights,Bike Parking,Caters,Coat Check,Cuisine,Delivery,Dogs Allowed,Drive-Thru,Good For,Good For Dancing,Good for Groups,Good for Kids,Good for Working,Happy Hour,Has Pool Table,Has TV,Music,Noise Level,Outdoor Seating,Parking,Price range,Rating,Review Counts,Smoking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Neighborhood1,Neighborhood2,Neighborhood3
,No,No,,Casual,,Yes,No,,Delis,Yes,,No,Late night,,No,No,,,,No,,Average,No,,$11-30 and Inexpensive,,102,,No,No,No,No,No,Midtown East,Murray Hill,Kips Bay
,No,No,,Casual,,Yes,No,,Sandwiches,Yes,,No,Late night,,No,No,,,,No,,Average,No,,$11-30 and Inexpensive,3.5,2,,No,No,No,No,No,Midtown East,Murray Hill,
,Yes,Beer & Wine Only,,Casual,,Yes,No,,Ice Cream & Frozen Yogurt;Hawaiian;Hot Dogs,No,,No,Late night,,Yes,Yes,,,,No,,Average,No,,Under $10,4.5,20,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,Beer & Wine Only,,Casual,,Yes,No,,American (New),No,,No,Late night,,Yes,Yes,,,,No,,Average,No,,Under $10,,20,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,Beer & Wine Only,,Casual,,Yes,No,,Restaurants,No,,No,Late night,,Yes,Yes,,,,No,,Average,No,,Under $10,,20,,Yes,No,No,No,No,Midtown East,Murray Hill,
,Yes,Beer & Wine Only,,Casual,,Yes,No,,Bars;American (New),No,,No,Late night,,Yes,No,,,,No,,Average,No,,Under $10,3,5,,Yes,Yes,No,No,No,Midtown East,Murray Hill,Kips Bay
,Yes,Full Bar,Casual,Casual,Thu,Yes,Yes,No,French;Tapas/Small Plates;Cocktail Bars,No,No,No,Brunch,No,Yes,No,,Yes,No,Yes,,Average,Yes,Street,$11-30 and Inexpensive,4.5,115,No,Yes,Yes,Yes,Yes,Free,Midtown East,Murray Hill,
,Yes,Full Bar,Casual,Casual,Thu,Yes,Yes,No,Southern;Comfort Food,Yes,No,No,Brunch,No,No,No,,Yes,No,No,,Average,Yes,Street,$11-30 and Inexpensive,4,568,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
,Yes,Beer & Wine Only,Romantic,Casual,Thu,Yes,No,No,Greek,No,No,No,Dinner,No,Yes,No,,Yes,No,No,,Average,No,Street,$31-60 and Moderate,4.5,810,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,No,No,American (Traditional);Burgers,No,No,No,Brunch,No,No,No,,Yes,No,No,,Average,No,Street,$11-30 and Inexpensive,4,753,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,Yes,No,American (New),Yes,No,No,Brunch,No,No,Yes,,Yes,No,No,,Average,No,Street,$11-30 and Inexpensive,4,797,No,Yes,No,Yes,Yes,No,East Village,Alphabet City,
,Yes,No,Hipster,Casual,Thu,Yes,No,No,Sandwiches;Meat Shops,Yes,No,No,Brunch,No,No,Yes,,Yes,No,No,,Average,No,Street,$11-30 and Inexpensive,4.5,67,No,Yes,No,No,Yes,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Intimate,Casual,Thu,Yes,Yes,No,American (New),Yes,No,No,Brunch,No,No,No,,Yes,No,Yes,,Average,No,Street,$11-30 and Inexpensive,4,604,No,Yes,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Moroccan,No,No,No,Brunch,No,Yes,No,,Yes,No,No,,Average,Yes,Street,$11-30 and Inexpensive,4,1326,No,Yes,Yes,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,Yes,No,Southern;Comfort Food,Yes,No,No,Dinner,No,No,No,,Yes,No,No,,Average,No,Street,$11-30 and Inexpensive,4.5,366,No,Yes,No,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Intimate,Casual,Thu,Yes,No,No,American (New),No,No,No,Dinner,No,Yes,No,,Yes,No,No,,Average,No,Garage,$31-60 and Moderate,4.5,48,No,Yes,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Intimate,Casual,Thu,Yes,No,No,Sandwiches;Bars,No,No,No,Dinner,No,Yes,Yes,,Yes,No,No,Background,Average,No,Garage,$11-30 and Inexpensive,5,16,No,Yes,No,Yes,No,Free,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Thu,Yes,No,No,Sandwiches;French,Yes,No,No,Lunch,No,No,No,,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4.5,80,No,Yes,Yes,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Hipster,Casual,Thu,Yes,Yes,No,Chicken Wings;American (New),No,No,No,Dinner,No,Yes,Yes,,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4.5,46,No,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,No,No,Casual,Casual,Thu,Yes,Yes,No,Latin American;Puerto Rican,Yes,No,No,Dinner,No,No,Yes,,Yes,No,Yes,Background,Average,No,Street,Under $10,4,223,No,Yes,No,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Divey,Casual,Thu,Yes,No,No,Sandwiches;Delis;Grocery,Yes,Yes,No,Lunch,No,No,Yes,,Yes,No,No,Background,Average,No,Street,Under $10,4.5,295,No,Yes,No,No,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,Yes,No,American (New);Comfort Food,No,No,No,Brunch,No,Yes,Yes,,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4,182,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Intimate,Casual,Thu,Yes,No,No,American (New),No,No,No,Dinner,No,No,No,,Yes,No,No,Background,Average,No,Street,$31-60 and Moderate,4.5,146,No,No,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,Yes,No,Australian;Wine Bars,No,No,No,Brunch,No,Yes,No,,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4,134,No,Yes,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,Yes,Yes,Bars;Asian Fusion;Korean,No,No,No,Late night,Yes,Yes,No,,Yes,No,Yes,DJ,Very Loud,No,Street,$11-30 and Inexpensive,4,435,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,No,Full Bar,Intimate,Casual,Thu,Yes,Yes,Yes,Italian,Yes,No,No,Dinner,Yes,Yes,No,,Yes,No,No,DJ,Average,Yes,Street,$11-30 and Inexpensive,4,864,No,Yes,Yes,Yes,No,No,East Village,Alphabet City,
Yes,Yes,No,Casual,Casual,Thu,No,No,Yes,French;Gluten-Free;Vegetarian,Yes,No,No,Dinner,Yes,Yes,No,,Yes,No,No,DJ,Average,No,Street,$11-30 and Inexpensive,4.5,121,No,Yes,Yes,Yes,No,Free,East Village,Alphabet City,
Yes,Yes,Beer & Wine Only,Intimate,Casual,Wed,Yes,No,No,Wine Bars;American (New),No,No,No,Dinner,No,Yes,No,,No,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4,242,No,No,Yes,Yes,No,No,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,Yes,No,American (New);Gastropubs,Yes,No,No,Brunch,No,Yes,No,,No,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4,385,No,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,No,No,Latin American;Tapas Bars,No,No,No,Dinner,No,Yes,No,,No,No,Yes,Background,Loud,Yes,Street,$11-30 and Inexpensive,4,1219,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Trendy,Casual,Wed,Yes,Yes,No,German,No,No,No,Dinner,No,Yes,No,,No,No,No,Background,Average,Yes,Street,$31-60 and Moderate,4,296,No,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,No,Beer & Wine Only,Casual,Casual,Wed,Yes,No,No,Ethnic Food;Modern European,No,No,No,Dinner,No,Yes,No,,No,No,No,Background,Average,Yes,Street,$11-30 and Inexpensive,4,261,No,Yes,Yes,Yes,No,No,East Village,Alphabet City,
No,No,Full Bar,Casual,Casual,Wed,Yes,Yes,No,Cuban,Yes,No,No,Dinner,No,Yes,No,,No,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,4,296,No,Yes,Yes,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,Yes,No,Mexican,No,No,No,Dinner,No,No,Yes,,No,No,Yes,Background,Average,No,Street,Under $10,4,199,No,Yes,No,No,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,No,No,Mediterranean;American (New),No,No,No,Dinner,No,Yes,No,,No,No,No,Background,Average,No,Street,$31-60 and Moderate,4.5,62,No,No,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,Yes,No,Mexican,Yes,No,No,Brunch,No,Yes,No,,No,No,Yes,Background,Average,No,Street,$11-30 and Inexpensive,4,423,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,No,No,American (New);Pizza,No,No,No,Lunch,No,Yes,No,,No,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4,84,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,No,No,Casual,Casual,Wed,Yes,Yes,No,Vietnamese;Sandwiches,Yes,No,No,Lunch,No,No,Yes,,No,No,No,Background,Quiet,Yes,Street,Under $10,4,180,No,Yes,No,No,No,No,East Village,Alphabet City,
