Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Best Nights,Bike Parking,Caters,Coat Check,Cuisine,Delivery,Dogs Allowed,Drive-Thru,Good For,Good For Dancing,Good for Groups,Good for Kids,Good for Working,Happy Hour,Has Pool Table,Has TV,Music,Noise Level,Outdoor Seating,Parking,Price range,Rating,Review Counts,Smoking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Neighborhood1,Neighborhood2,Neighborhood3
No,Yes,Full Bar,Casual,Casual,Wed,Yes,Yes,No,Breakfast & Brunch;Mexican;Desserts,Yes,No,No,Dinner,No,Yes,Yes,No,Yes,Yes,No,DJ,Average,Yes,Street,$11-30 and Inexpensive,3.5,499,No,Yes,Yes,Yes,No,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Mon,No,No,No,Tapas Bars;Wine Bars;American (New),No,No,No,Dinner,No,Yes,No,No,Yes,Yes,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,3.5,186,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Romantic,Casual,Thu,Yes,No,No,Wine Bars;Tapas Bars,No,No,No,Dinner,No,Yes,No,No,No,Yes,No,Background,Average,Yes,Street,$11-30 and Inexpensive,3.5,286,Outdoor Area/ Patio Only,No,No,Yes,Yes,No,East Village,,
No,Yes,Full Bar,Divey,Casual,Thu,Yes,Yes,No,Indian,Yes,No,No,Dinner,No,Yes,Yes,No,No,Yes,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,4.5,82,Outdoor Area/ Patio Only,Yes,Yes,Yes,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Burgers,No,No,No,Dinner,No,Yes,Yes,No,No,Yes,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,3.5,436,Outdoor Area/ Patio Only,Yes,Yes,Yes,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Japanese;Asian Fusion,No,No,No,Dinner,No,Yes,Yes,No,No,Yes,No,Background,Average,No,Street,$11-30 and Inexpensive,4,55,Outdoor Area/ Patio Only,Yes,Yes,Yes,Yes,No,East Village,,
No,Yes,Beer & Wine Only,Casual,Casual,Thu,No,Yes,No,Chinese;Taiwanese,Yes,No,No,Lunch,No,No,Yes,No,No,Yes,No,Background,Average,No,Street,$11-30 and Inexpensive,3.5,227,Outdoor Area/ Patio Only,Yes,No,No,Yes,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Thu,No,No,No,Irish;Pubs;Sports Bars,No,No,No,Lunch,No,Yes,No,No,Yes,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,4,12,No,Yes,Yes,Yes,Yes,Free,East Village,,
No,No,Beer & Wine Only,Casual,Casual,Thu,Yes,No,No,Pizza,Yes,No,No,Dinner,No,Yes,Yes,No,Yes,No,No,Background,Average,Yes,Street,$11-30 and Inexpensive,4,365,No,Yes,Yes,Yes,Yes,Free,East Village, ,
No,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,No,No,Coffee & Tea;Sandwiches;Wine Bars,No,No,No,Dessert,No,No,No,No,Yes,No,No,Background,Average,Yes,Street,$11-30 and Inexpensive,4,198,No,Yes,No,Yes,Yes,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,No,No,American (New);Bars,No,No,No,Late night,No,Yes,No,No,Yes,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,3.5,168,No,Yes,Yes,Yes,Yes,Free,East Village,,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,Yes,No,Teppanyaki;Sushi Bars,Yes,No,No,Dinner,No,Yes,Yes,No,Yes,No,Yes,Background,Quiet,No,Street,$11-30 and Inexpensive,3.5,77,No,Yes,Yes,Yes,Yes,Free,East Village,,
No,Yes,No,Casual,Casual,Wed,Yes,Yes,No,Pizza,Yes,No,No,Lunch,No,No,Yes,No,Yes,No,No,Background,Average,Yes,Street,Under $10,4,246,No,Yes,No,No,Yes,No,East Village,,
No,Yes,Beer & Wine Only,Trendy,Casual,Wed,Yes,No,No,Steakhouses;Korean;Burgers,No,No,No,Dinner,No,Yes,No,No,Yes,No,No,Background,Average,No,Street,$31-60 and Moderate,4,207,No,No,Yes,Yes,Yes,No,Gramercy,East Village,
No,Yes,No,Casual,Casual,Wed,Yes,No,No,Vegetarian;Delis,Yes,No,No,Breakfast,No,No,Yes,No,Yes,No,No,Background,Average,No,Street,Under $10,4,335,No,Yes,No,Yes,No,No,East Village,,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,Yes,No,Pizza;Italian,Yes,No,No,Dinner,No,Yes,Yes,No,Yes,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,3.5,192,No,Yes,Yes,Yes,Yes,No,East Village,,
No,No,Beer & Wine Only,Casual,Casual,Wed,Yes,Yes,No,Cuban,No,No,No,Dinner,No,No,Yes,No,Yes,No,No,Background,Average,Yes,Street,Under $10,4,20,No,Yes,No,No,Yes,No,East Village,,
No,Yes,Full Bar,Trendy,Casual,Fri,Yes,Yes,No,Pubs;Cajun/Creole;Cocktail Bars,Yes,No,No,Brunch,No,Yes,No,No,Yes,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,4,100,No,No,Yes,Yes,Yes,No,East Village, ,
No,Yes,Full Bar,Casual,Casual,Mon,No,No,No,Bars;Mediterranean;American (Traditional),No,No,No,Lunch,No,Yes,No,No,Yes,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,3.5,70,No,Yes,Yes,Yes,Yes,No,East Village,,
No,Yes,No,Casual,Casual,Mon,No,No,No,Ukrainian,No,No,No,Lunch,No,Yes,No,No,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4.5,21,No,Yes,Yes,Yes,Yes,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,No,No,American (Traditional);Pubs;Sports Bars,No,No,No,Late night,No,Yes,No,No,Yes,No,Yes,DJ,Loud,No,Street,$11-30 and Inexpensive,3.5,392,No,Yes,Yes,Yes,Yes,Free,East Village,,
No,Yes,Full Bar,Intimate,Casual,Wed,Yes,Yes,No,African;Moroccan;American (Traditional),Yes,No,No,Dinner,No,Yes,No,No,Yes,No,No,DJ,Average,Yes,Street,$11-30 and Inexpensive,3.5,321,No,Yes,Yes,Yes,Yes,No,East Village,,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,Yes,No,Mediterranean;Lebanese,Yes,Yes,No,Dinner,No,Yes,No,No,Yes,No,No,DJ,Average,No,Street,$11-30 and Inexpensive,3.5,288,No,Yes,Yes,Yes,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,Yes,No,Latin American;Peruvian;Breakfast & Brunch,Yes,Yes,No,Dinner,No,Yes,Yes,No,Yes,No,Yes,DJ,Average,No,Street,$11-30 and Inexpensive,3.5,224,No,Yes,Yes,Yes,No,Free,East Village,,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,Yes,No,Indian;Pakistani,Yes,Yes,No,Dinner,No,Yes,Yes,No,Yes,No,No,DJ,Average,Yes,Street,$11-30 and Inexpensive,4.5,27,No,Yes,Yes,Yes,No,No,East Village, ,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,Yes,No,Grocery;Delis,No,Yes,No,Breakfast,No,No,Yes,No,Yes,No,No,DJ,Quiet,No,Street,Under $10,4.5,33,No,Yes,No,No,No,No,East Village,0Ho,
No,No,No,Casual,Casual,Wed,Yes,No,No,Japanese,No,Yes,No,Lunch,No,No,Yes,No,Yes,No,No,DJ,Quiet,Yes,Street,Under $10,3.5,61,No,Yes,No,No,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,No,No,Ramen,No,Yes,No,Lunch,No,No,Yes,No,Yes,No,Yes,DJ,Average,No,Street,$11-30 and Inexpensive,3.5,467,No,Yes,No,Yes,Yes,No,East Village, ,
No,Yes,No,Casual,Casual,Wed,Yes,No,No,Chinese,Yes,No,No,Dinner,No,No,Yes,No,Yes,No,Yes,DJ,Average,No,Street,Under $10,4,24,No,Yes,No,No,No,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,No,No,Thai,Yes,No,No,Dinner,No,Yes,No,No,Yes,No,No,DJ,Average,No,Street,$11-30 and Inexpensive,3.5,334,No,Yes,Yes,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,No,No,Szechuan;Sushi Bars;Thai,Yes,No,No,Dinner,No,Yes,Yes,No,Yes,No,No,DJ,Quiet,No,Street,$11-30 and Inexpensive,4,25,No,Yes,Yes,Yes,No,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,Yes,Yes,Italian;Wine Bars,Yes,No,No,Dinner,No,Yes,No,No,No,No,No,Background,Average,No,Street,$11-30 and Inexpensive,3.5,183,No,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Thu,No,No,Yes,Japanese;Hot Pot;Sushi Bars,No,No,No,Dinner,No,Yes,No,No,No,No,No,Background,Loud,No,Street,$11-30 and Inexpensive,3.5,38,No,No,Yes,Yes,Yes,No,East Village, ,
No,Yes,Beer & Wine Only,Divey,Casual,Thu,Yes,Yes,Yes,Ramen,Yes,No,No,Dinner,No,No,Yes,No,No,No,No,Background,Average,No,Street,Under $10,3.5,30,No,Yes,No,Yes,Yes,No,East Village,,
No,Yes,Full Bar,Trendy,Casual,Thu,Yes,No,Yes,Mexican;Tapas/Small Plates,No,No,No,Dinner,No,Yes,No,No,No,No,No,Background,Average,No,Street,$31-60 and Moderate,3.5,225,No,No,Yes,Yes,Yes,No,East Village,,
No,Yes,No,Trendy,Casual,Thu,Yes,No,Yes,Chinese,Yes,No,No,Dinner,No,Yes,Yes,No,No,No,No,Background,Loud,No,Street,Under $10,3.5,53,No,Yes,No,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Classy,Casual,Thu,Yes,No,Yes,American (New);Bars;Cafes,No,No,No,Brunch,No,Yes,No,No,Yes,No,No,Background,Average,Yes,Valet,$11-30 and Inexpensive,3.5,41,No,No,No,Yes,Yes,Free,East Village,East Village,Greenwich Village
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Lounges;Burgers,No,No,No,Late night,No,Yes,No,No,Yes,No,No,Background,Average,Yes,Street,$11-30 and Inexpensive,3.5,284,No,No,No,Yes,No,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,No,Yes,Italian;Bars,Yes,No,No,Dinner,No,Yes,No,No,Yes,No,No,Background,Average,Yes,Garage,$11-30 and Inexpensive,3.5,198,No,Yes,Yes,Yes,No,Free,East Village,,
No,No,No,Casual,Casual,Wed,Yes,No,Yes,Sri Lankan,Yes,No,No,Dinner,No,No,No,No,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4,369,No,Yes,No,Yes,No,Free,East Village, ,
No,Yes,Beer & Wine Only,Casual,Casual,Mon,Yes,No,No,Wine Bars;Breakfast & Brunch;Tapas Bars,Yes,No,No,Brunch,No,Yes,No,No,Yes,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,3.5,227,No,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Mon,Yes,No,No,Mediterranean;Hookah Bars,Yes,No,No,Brunch,No,Yes,No,No,Yes,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,4,37,No,Yes,No,Yes,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Mon,Yes,No,No,Gastropubs;Irish,No,No,No,Brunch,No,Yes,No,No,Yes,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,3,312,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Mon,Yes,No,No,Sushi Bars;Japanese,No,No,No,Dinner,No,No,No,No,Yes,No,No,Background,Average,No,Street,Above $61 and Pricey,4,175,No,No,Yes,Yes,Yes,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Wine Bars;Italian;American (Traditional),No,No,No,Late night,No,Yes,No,No,Yes,No,Yes,Background,Average,No,Street,$11-30 and Inexpensive,3.5,198,No,Yes,No,Yes,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Thu,No,No,No,Sports Bars;Pubs;Irish,No,No,No,Late night,Yes,Yes,No,No,Yes,Yes,Yes,DJ,Loud,No,Street,$11-30 and Inexpensive,3.5,327,No,Yes,Yes,Yes,Yes,No,East Village, ,
No,Yes,Full Bar,Casual,Casual,Fri,Yes,Yes,No,Indian;Wine Bars,Yes,No,No,Dinner,No,Yes,Yes,No,Yes,Yes,Yes,DJ,Average,No,Street,$11-30 and Inexpensive,3.5,654,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Divey,Casual,Wed,Yes,Yes,No,Pubs;American (New),No,No,No,Late night,No,Yes,No,No,Yes,No,Yes,Juke Box,Average,No,Street,Under $10,3.5,54,No,No,No,No,No,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,Yes,No,Cuban;Sandwiches,No,No,No,Lunch,No,Yes,Yes,No,Yes,No,No,Juke Box,Average,No,Street,$11-30 and Inexpensive,3.5,33,No,No,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Wed,Yes,No,No,Vegan;Bakeries;Coffee & Tea,Yes,No,No,Breakfast,No,No,Yes,Yes,Yes,No,No,Juke Box,Average,Yes,Street,Under $10,3.5,409,No,Yes,No,No,No,Free,East Village,,
No,Yes,No,Casual,Casual,Wed,Yes,Yes,No,Middle Eastern;Soup;Sandwiches,Yes,No,No,Late night,No,Yes,Yes,Yes,Yes,No,Yes,Juke Box,Average,No,Street,Under $10,3.5,67,No,Yes,No,No,Yes,No,East Village,,
No,Yes,Beer & Wine Only,Romantic,Casual,Wed,Yes,No,No,French,Yes,No,No,Dinner,No,Yes,No,Yes,Yes,No,No,Juke Box,Average,Yes,Garage,$11-30 and Inexpensive,3.5,250,No,Yes,Yes,Yes,No,No,East Village,,
No,Yes,Beer & Wine Only,Casual,Casual,Wed,Yes,No,No,Vegetarian,No,No,No,Lunch,No,Yes,Yes,Yes,Yes,No,No,Juke Box,Average,No,Street,$11-30 and Inexpensive,3.5,657,No,Yes,No,Yes,Yes,No,East Village, ,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,No,No,Japanese;Sushi Bars,Yes,No,No,Lunch,No,Yes,Yes,Yes,Yes,No,No,Juke Box,Average,No,Street,$11-30 and Inexpensive,3,253,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Wed,Yes,Yes,No,Tapas Bars;Seafood;American (Traditional),Yes,No,No,Lunch,No,Yes,Yes,Yes,Yes,No,Yes,Juke Box,Quiet,Yes,Street,$11-30 and Inexpensive,4.5,7,No,Yes,Yes,Yes,Yes,Free,East Village,,
No,No,No,Casual,Casual,Wed,Yes,No,No,Pizza,No,No,No,Lunch,No,Yes,Yes,Yes,Yes,No,No,Juke Box,Average,No,Street,Under $10,4,498,No,Yes,No,No,Yes,No,East Village,,
No,Yes,Full Bar,Divey,Casual,Mon,Yes,No,No,Restaurants;Bars,No,No,No,Lunch,No,Yes,No,Yes,Yes,No,Yes,Juke Box,Average,No,Street,Under $10,3.5,63,No,No,No,No,Yes,No,East Village,,
No,Yes,Full Bar,Divey,Casual,Mon,Yes,No,No,American (New),Yes,No,No,Late night,No,Yes,No,Yes,Yes,No,Yes,Juke Box,Loud,Yes,Street,$11-30 and Inexpensive,4,21,No,Yes,Yes,Yes,Yes,No,East Village,0Ho,
No,Yes,No,Divey,Casual,Mon,Yes,No,No,Fast Food;Burgers,Yes,No,No,Lunch,No,No,Yes,Yes,Yes,No,Yes,Juke Box,Average,No,Street,Under $10,3,308,No,Yes,No,No,No,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Mon,Yes,No,No,Filipi0,No,No,No,Brunch,No,Yes,Yes,Yes,Yes,No,Yes,Juke Box,Average,Yes,Street,$11-30 and Inexpensive,4,73,No,Yes,Yes,Yes,No,Free,East Village, ,
No,Yes,Beer & Wine Only,Casual,Casual,Mon,Yes,No,No,Thai,Yes,No,No,Dinner,No,No,No,Yes,Yes,No,No,Juke Box,Average,No,Street,$11-30 and Inexpensive,3.5,131,No,Yes,No,Yes,No,No,East Village,,
No,No,No,Casual,Casual,Mon,Yes,No,No,Coffee & Tea;Taiwanese,No,No,No,Dessert,No,Yes,Yes,Yes,Yes,No,No,Juke Box,Average,Yes,Street,Under $10,3,442,No,Yes,No,Yes,No,No,East Village,,
No,Yes,No,Divey,Casual,Mon,Yes,Yes,No,Juice Bars & Smoothies;Hot Dogs;Food Trucks;Sandwiches;Barbeque,Yes,No,No,Late night,No,Yes,Yes,Yes,Yes,No,Yes,Juke Box,Average,Yes,Street,Under $10,3.5,108,No,Yes,No,No,No,No,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Mon,Yes,No,No,Italian;Mediterranean,No,No,No,Dinner,No,Yes,No,Yes,Yes,No,No,Juke Box,Average,Yes,Street,$11-30 and Inexpensive,3.5,93,No,Yes,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,Beer & Wine Only,Casual,Casual,Mon,No,No,No,Thai,Yes,No,No,Lunch,No,No,Yes,Yes,Yes,No,No,Juke Box,Quiet,No,Street,$11-30 and Inexpensive,3.5,100,No,Yes,No,Yes,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Mon,Yes,No,No,Asian Fusion;Sushi Bars,Yes,No,No,Dinner,No,Yes,Yes,Yes,Yes,No,Yes,Juke Box,Average,No,Street,$11-30 and Inexpensive,3.5,499,No,Yes,Yes,Yes,Yes,Free,East Village, ,
No,Yes,Beer & Wine Only,Casual,Casual,Fri,No,No,No,Hookah Bars;Lounges;Cafes,No,No,No,Late night,No,Yes,No,Yes,Yes,No,Yes,Juke Box,Average,No,Street,$11-30 and Inexpensive,4,71,Yes,Yes,Yes,Yes,No,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Fri,No,No,No,Bars;American (Traditional),No,No,No,Late night,No,Yes,No,Yes,Yes,No,Yes,Juke Box,Average,Yes,Street,$11-30 and Inexpensive,5,2,Yes,Yes,Yes,Yes,No,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Fri,Yes,Yes,No,Thai,Yes,No,No,Dinner,No,Yes,Yes,Yes,Yes,No,Yes,Juke Box,Average,No,Street,$11-30 and Inexpensive,3.5,220,Yes,Yes,Yes,Yes,Yes,Free,East Village,,
No,Yes,No,Casual,Casual,Fri,Yes,Yes,No,Bubble Tea;Cafes;Coffee & Tea,No,No,No,Dinner,No,Yes,Yes,Yes,Yes,No,No,Juke Box,Quiet,No,Street,Under $10,4.5,21,Yes,Yes,No,No,Yes,Free,East Village,,
No,Yes,No,Casual,Casual,Fri,Yes,Yes,No,Pizza,Yes,No,No,Lunch,No,Yes,Yes,Yes,Yes,No,Yes,Juke Box,Quiet,No,Street,Under $10,4,40,Yes,Yes,No,No,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,Yes,Yes,Bars;American (Traditional),No,No,No,Late night,Yes,Yes,No,Yes,Yes,No,Yes,DJ,Very Loud,Yes,Street,$11-30 and Inexpensive,3,262,Outdoor Area/ Patio Only,Yes,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Pubs;British,No,No,No,Late night,No,Yes,No,Yes,Yes,No,Yes,DJ,Quiet,No,Street,Under $10,4,55,No,No,No,No,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Fri,Yes,Yes,No,American (New);Italian;Hookah Bars,No,No,No,Late night,No,Yes,No,Yes,No,No,Yes,DJ,Average,Yes,Street,$11-30 and Inexpensive,2.5,341,Outdoor Area/ Patio Only,Yes,No,Yes,Yes,No,East Village, ,
No,Yes,Beer & Wine Only,Casual,Casual,Fri,Yes,Yes,No,Creperies;Gluten-Free;French,Yes,No,No,Breakfast,No,Yes,Yes,Yes,No,No,Yes,DJ,Quiet,No,Street,Under $10,4,23,Outdoor Area/ Patio Only,Yes,Yes,Yes,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Fri,Yes,No,No,Lounges;American (New);Tapas Bars,No,No,No,Late night,No,Yes,No,Yes,Yes,No,No,Background,Loud,No,Street,$11-30 and Inexpensive,3.5,134,No,No,No,Yes,Yes,No,East Village,,
No,Yes,No,Casual,Casual,Fri,Yes,Yes,No,Pizza,Yes,No,No,Late night,No,Yes,Yes,Yes,Yes,No,Yes,Background,Average,Yes,Street,Under $10,3.5,142,No,Yes,No,No,Yes,Free,East Village,,
No,Yes,No,Casual,Casual,Fri,Yes,Yes,No,American (New),Yes,No,No,Late night,No,Yes,Yes,Yes,Yes,No,Yes,Background,Average,Yes,Street,Under $10,5,1,No,Yes,No,No,Yes,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Sports Bars;American (Traditional),No,No,No,Late night,No,Yes,No,Yes,Yes,No,Yes,Background,Loud,Yes,Street,$11-30 and Inexpensive,3,417,No,No,Yes,Yes,Yes,Free,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Japanese;Sushi Bars,Yes,No,No,Late night,No,Yes,Yes,Yes,Yes,No,No,Background,Average,No,Street,$31-60 and Moderate,4,36,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,No,Full Bar,Casual,Casual,Thu,Yes,Yes,No,Italian,Yes,No,No,Dinner,No,Yes,Yes,Yes,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,3.5,376,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,Yes,No,Food Stands;Creperies,No,No,No,Dessert,No,No,Yes,Yes,Yes,No,No,Background,Average,No,Street,Under $10,5,59,No,Yes,No,Yes,Yes,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Thu,No,Yes,No,Cajun/Creole,No,No,No,Dessert,No,Yes,No,Yes,Yes,No,Yes,Background,Very Loud,No,Street,$11-30 and Inexpensive,4.5,9,No,Yes,Yes,Yes,Yes,No,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Thu,Yes,Yes,No,Diners;Polish,Yes,No,No,Lunch,No,Yes,Yes,Yes,Yes,No,Yes,Background,Average,No,Street,$11-30 and Inexpensive,3.5,171,No,Yes,No,Yes,Yes,No,East Village,,
No,Yes,No,Casual,Casual,Thu,Yes,Yes,No,Japanese,Yes,No,No,Lunch,No,Yes,Yes,Yes,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,4,6,No,Yes,No,Yes,Yes,No,East Village,,
No,Yes,Beer & Wine Only,Romantic,Casual,Fri,Yes,Yes,No,Italian;Wine Bars;Pizza,Yes,No,No,Dinner,No,Yes,No,Yes,Yes,No,Yes,Background,Average,No,Garage,$11-30 and Inexpensive,3.5,204,No,Yes,Yes,Yes,Yes,Free,East Village,0Ho,
No,Yes,Beer & Wine Only,Divey,Casual,Fri,Yes,No,No,Sushi Bars;Japanese,Yes,No,No,Dinner,No,Yes,Yes,Yes,Yes,No,No,Background,Quiet,Yes,Street,$11-30 and Inexpensive,3.5,36,No,Yes,Yes,Yes,No,No,East Village, ,
No,Yes,Full Bar,Hipster,Casual,Fri,Yes,Yes,No,Mexican,Yes,No,No,Lunch,No,Yes,Yes,Yes,Yes,No,Yes,Background,Average,Yes,Street,$11-30 and Inexpensive,3,52,No,Yes,Yes,Yes,No,Free,Union Square,East Village,Greenwich Village
No,Yes,No,Casual,Casual,Fri,Yes,Yes,No,Middle Eastern;Sandwiches,Yes,No,No,Lunch,No,Yes,Yes,Yes,Yes,No,No,Background,Quiet,No,Street,Under $10,3,104,No,Yes,No,No,Yes,Free,East Village,,
No,Yes,Full Bar,Casual,Casual,Mon,Yes,Yes,No,Bars;American (Traditional),Yes,No,No,Lunch,No,Yes,No,Yes,Yes,No,Yes,Juke Box,Loud,Yes,Street,Under $10,3.5,77,Outdoor Area/ Patio Only,Yes,No,No,Yes,Free,East Village,Alphabet City,
No,Yes,No,Casual,Casual,Mon,Yes,Yes,No,Belgian,No,No,No,Late night,No,Yes,Yes,Yes,Yes,No,No,Juke Box,Average,No,Street,Under $10,3,43,Outdoor Area/ Patio Only,Yes,No,No,Yes,No,East Village,0Ho,
No,Yes,Beer & Wine Only,Casual,Casual,Mon,Yes,No,No,Chinese,Yes,No,No,Dinner,No,Yes,Yes,Yes,Yes,No,No,Juke Box,Average,No,Street,$11-30 and Inexpensive,3.5,291,Outdoor Area/ Patio Only,Yes,Yes,Yes,No,No,East Village,,
No,Yes,No,Casual,Casual,Mon,Yes,No,No,Pizza,Yes,No,No,Late night,No,Yes,Yes,Yes,Yes,No,No,Juke Box,Average,No,Street,Under $10,3.5,57,Outdoor Area/ Patio Only,Yes,No,No,Yes,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Thu,No,Yes,No,Sports Bars;American (Traditional),No,No,No,Late night,No,Yes,No,Yes,Yes,No,Yes,Background,Loud,No,Street,$11-30 and Inexpensive,3.5,336,Outdoor Area/ Patio Only,Yes,Yes,Yes,No,No,East Village, ,
No,Yes,Full Bar,Casual,Casual,Thu,No,Yes,No,Restaurants,No,No,No,Late night,No,Yes,No,Yes,Yes,No,Yes,Background,Loud,No,Street,$11-30 and Inexpensive,4,2,Outdoor Area/ Patio Only,Yes,Yes,Yes,No,No,East Village,,
No,Yes,Full Bar,Casual,Casual,Thu,Yes,No,No,Barbeque,Yes,No,No,Dinner,No,Yes,Yes,Yes,Yes,No,Yes,Background,Loud,Yes,Street,$11-30 and Inexpensive,3,314,Outdoor Area/ Patio Only,Yes,No,Yes,Yes,No,East Village,Alphabet City,
No,Yes,Full Bar,Trendy,Casual,Thu,Yes,No,No,Thai,Yes,No,No,Dinner,No,Yes,No,Yes,Yes,No,No,Background,Average,No,Street,$11-30 and Inexpensive,3.5,745,Outdoor Area/ Patio Only,Yes,Yes,Yes,No,No,East Village,,
No,Yes,Full Bar,Trendy,Casual,Thu,Yes,No,No,Seafood;Lounges,Yes,No,No,Dinner,No,Yes,No,Yes,No,No,No,Background,Average,No,Street,$11-30 and Inexpensive,3.5,6,Outdoor Area/ Patio Only,Yes,Yes,Yes,No,No,East Village,,
No,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,No,No,Burgers,Yes,No,No,Lunch,No,No,Yes,Yes,No,No,No,Background,Average,No,Street,$11-30 and Inexpensive,3,90,Outdoor Area/ Patio Only,Yes,No,No,Yes,No,East Village,,
No,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,No,No,Italian;Pizza,Yes,No,No,Lunch,No,Yes,Yes,Yes,No,No,No,Background,Average,No,Street,Under $10,3.5,129,Outdoor Area/ Patio Only,Yes,No,No,Yes,No,East Village,,
No,Yes,Beer & Wine Only,Casual,Casual,Thu,Yes,No,No,Diners,Yes,No,No,Breakfast,No,Yes,Yes,Yes,No,No,Yes,Background,Average,No,Street,$11-30 and Inexpensive,2.5,133,Outdoor Area/ Patio Only,Yes,No,Yes,Yes,No,East Village, ,
